title,company,location,salary,contact,full_text,label,source,archetype
Data Analyst - Financial Insights Team,FinSecure Analytics Pvt. Ltd.,"Hyderabad, Telangana",₹6.5 - 9.5 LPA (CTC),dataanalyst@finsureanalytics.com,"Data Analyst - Financial Insights Team FinSecure Analytics Pvt. Ltd. Join FinSecure Analytics, a leading fintech firm dedicated to making financial services accessible and transparent. We're seeking a skilled Data Analyst to drive business growth through data-driven insights. About the role:

We're looking for a detail-oriented Data Analyst to join our Financial Insights Team. As a Data Analyst, you will play a key role in analyzing and interpreting complex financial data to inform business decisions.

Responsibilities:

- Develop and maintain databases, data visualizations, and reports to support business strategy
- Analyze large datasets to identify trends, patterns, and insights
- Collaborate with cross-functional teams to integrate data into business decisions
- Design and implement data quality checks to ensure data accuracy
- Develop and maintain data models to support predictive analytics

Requirements:

- B.E./B.Tech or M.Sc. in Computer Science, Statistics, or Mathematics
- 3+ years of experience in data analysis or a related field
- Proficiency in SQL, Python, and data visualization tools (Tableau, Power BI)
- Experience with cloud-based data platforms (AWS, GCP, Azure)
- Strong analytical and problem-solving skills
- Excellent communication and collaboration skills

What we offer:

- Competitive salary and benefits package
- Opportunities for professional growth and development
- Collaborative and dynamic work environment
- Flexible working hours and remote work options
- Recognition and reward for outstanding performance",0,synthetic_legitimate,legitimate
HR Business Partner,TechCorp India Private Limited,Gurugram,₹8-13 LPA,hr.recruitment@techcorp.in,"HR Business Partner TechCorp India Private Limited We are a leading IT services company, providing innovative solutions to our global clients. We are now looking for an experienced HR Business Partner to join our team. About the role

We are looking for an HR Business Partner to support the business in achieving its strategic objectives. As an HR Business Partner, you will be responsible for providing HR expertise to the business leaders, driving business outcomes, and ensuring alignment with our company's culture and values.

Responsibilities

- Partner with business leaders to understand their requirements and provide HR support to drive business outcomes.
- Develop and implement HR strategies that align with the company's business objectives.
- Provide guidance on talent acquisition, employee engagement, and retention strategies.
- Collaborate with cross-functional teams to ensure seamless execution of HR initiatives.
- Conduct HR audits and provide recommendations for improvement.
- Develop and maintain HR policies and procedures.
- Provide training and development programs to enhance employee skills and knowledge.
- Analyze employee data and metrics to inform HR decisions.

Requirements

- Bachelor's degree in Human Resources, Business Administration, or related field.
- Minimum 8 years of experience in HR, with at least 3 years in a business partner role.
- Proven track record of driving business outcomes through HR initiatives.
- Excellent communication and interpersonal skills.
- Strong analytical and problem-solving skills.
- Ability to work in a fast-paced environment and prioritize multiple tasks.
- Experience with HR systems, such as Workday or Oracle HCM.

What we offer

- Competitive salary and benefits package.
- Opportunity to work with a leading IT services company.
- Collaborative and dynamic work environment.
- Professional growth and development opportunities.
- Recognition and rewards for outstanding performance.",0,synthetic_legitimate,legitimate
Home Based Payroll Typist/Data Entry Clerks Positions Available,,"US, MT, Absarokee ",,,"Home Based Payroll Typist/Data Entry Clerks Positions Available  We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:   Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.",1,emscad,emscad_fraud
Local Representative,,"US, FL, Marco Island",,,"Local Representative ERG is a business and consumer law firm dedicated to helping its clients navigate the BP Claims Process. Almost every type of business on the west coast of Florida, and many individuals and professionals, may be qualified to particpate under this new BP funded program established as of June 4, 2012. The purpose of the program is to help Florida businesses and consumers recover from the direct and indirect impacts of the 2010 Deepwater Horizon Oil Spill, and ERG and its team of lawyers and financial professionals are dedicated to ensuring that all of those impacted receive the quality representation they deserve. The ability to file a claim is time limited, so investigate your rights today to ensure that the intended benefits of the program are realized as Florida's economy continues to struggle. Visit #URL_70030a244afb9e0151ea2dcb7fe41f3026a714b37eef7f5e2494abafa40ae1fa# for more about ERG and whether you or your company may have a claim. If you are in a direct marketing, consulting, advising, commission, service, non-profit job, this is a tool that you need to have in your kit for your clients, associates, friends and neighbors. It is an eleven month opportunity to earn as much or as little as you are interested in, simply by communicating with your friends and business associates along the coast of Florida. Brief Outline of Local Representative Position: Economic Recovery Group, LLC is a Florida law firm devoted to spreading the word to potential claimants about the new BP Horizon Settlement Program. Essentially everything you need to know about that is in the FAQ, will be covered in the one hour webinar training and will be emailed to you in a variety of updates. We are looking for businesses, nonprofits and independent contractors who can produce 60 months of P &amp; L statements, had a downturn in 2010, and in 2011 show an upturn. There are 63 other ways to make a determination, but the general claim will follow that pattern. There are a few excluded classes – bankers, insurers, BP Station owners, investment advisers, casinos and local governments are probably the most common. If you find somebody who might be interested, refer him to a regional representative who will encourage him to fill out the paperwork to evaluate whether he may have file a claim. A staff attorney from our Winter Park office will contact him, assist him in putting together his documentation and filing a claim if there is one. We are also looking for groups to present to, and any leads that come from those meetings will belong to the local representative. We have presentations that someone from ERG lines up and will invite the local representatives to be there and give claim forms to those interested. These will become yours as well. There are about 20 Billion dollars worth of claims walking around out there. This is the biggest settlement agreement ever filed. We have until April 22, 2014 to file claims or be barred. A rough estimate is that there are 800,000 potential claimants in Coastal Florida. There is no production requirement. This is just an opportunity that you can take as much or as little advantage of as you want. You will be signed up as an employee of Economic Recovery Group as the State Bar of Florida requires that you be an employee. We will furnish business cards and marketing materials. Let me know if you’re interested. Email me at #EMAIL_3f00b4e20c8bbab14a7c183dc3ab173b04ce72fcefe59c98b255f84561925ba4# or call me if this is something that might be of interest to you. Cell: #PHONE_2c9e2730fd93423ce8b7a871ebeeaef430843c21c17585b0181eda889db552b5# or #PHONE_75ae6759d433d010ff7bbb7f46a83587f6befc19df50986f4d1fbab112862582#  All the best,David_______________________David K Easlick Jr, JD MBACommunity RepresentativeRegional Human Resources RepresentativeEconomic Recovery Group, LLC1936 Lee Road, Suite 105Winter Park, Florida 32789#URL_70030a244afb9e0151ea2dcb7fe41f3026a714b37eef7f5e2494abafa40ae1fa# E: #EMAIL_3f00b4e20c8bbab14a7c183dc3ab173b04ce72fcefe59c98b255f84561925ba4#W: 888/270/6288C: 843/522/0679",0,emscad_real,legitimate
UX Designer,SmarTech Solutions,"Bengaluru, Karnataka",₹8.5–11.5 LPA,"name: Smashita Bhattacharya, title: Talent Acquisition Manager, email: careers@smartechnologies.in, phone: +91 80 4567 8901","UX Designer SmarTech Solutions At SmarTech Solutions, we're revolutionizing the way people interact with technology. We're a product startup that's passionate about creating innovative solutions that make a real impact. About the role:

We're looking for a talented UX Designer to join our team. As a UX Designer, you'll be responsible for creating user-centered design solutions that drive engagement and conversion.

Responsibilities:

* Conduct user research to understand user needs and preferences
* Develop wireframes, prototypes, and high-fidelity designs that meet business objectives
* Collaborate with cross-functional teams to ensure design solutions align with product vision
* Conduct usability testing and gather feedback to inform design decisions
* Stay up-to-date with industry trends and best practices in UX design

Requirements:

* 4+ years of experience in UX design, with a strong portfolio of work
* Bachelor's degree in Design, Human-Computer Interaction, or a related field
* Excellent communication and collaboration skills
* Proficiency in design tools such as Sketch, Figma, and Adobe XD
* Experience with user research methods and usability testing
* Strong understanding of human-centered design principles

What we offer:

* Competitive salary and benefits package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Flexible work arrangements and remote work options
* Access to the latest design tools and technologies

Apply to this role by sending your resume and cover letter to [careers@smartechnologies.in](mailto:careers@smartechnologies.in).",0,synthetic_legitimate,legitimate
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,,"US, TX, Abbott ",,,"Payroll Data Coordinator Positions - Earn $100-$200 Daily   We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills",1,emscad,emscad_fraud
Network Marketing,,"US, MA, ",7200-1380000,,"Network Marketing  Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts. An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business",1,emscad,emscad_fraud
Assistant Accountant for immediate start,,"AU, NSW, Sydney",35000-40000,,"Assistant Accountant for immediate start  A active and dynamic recruitment company, seeking a Assistant Accountant. We are looking for communicative and motivated employees for immediate start. Only excellent candidates need apply as this is a permanent position with the for significant promising career. Optical Training will be provided, but you must be eager to learn and have the ability to work effectively in a our environment from your first day. The responsibilities of this role will include:- Monthly reporting - Administrative duties involved with accounting- Finalising credit applications - Other tasks as requested by management As the Assistent Accountant you will be primarily responsible for providing support to the Financial Assistant, Requirements:  • possible without experience  • Must be self-sufficient  • Computer skills (Microsoft Excel,Word and Outlook)  • An ability to handle multiple tasks",1,emscad,emscad_fraud
Freelance Translators (m/f) from Danish and German into English,,"DE, BE, Berlin",,,"Freelance Translators (m/f) from Danish and German into English Babbel enables anyone to learn languages in an easy and interactive way. The learning system offers 13 languages, from English to Indonesian. Users with and without previous knowledge can access grammar and thematic courses as well as vocabulary, writing and listening comprehension exercises online and on the go. In addition to the full courses for web, iOS and Android, there are also vocabulary trainer apps for Windows 8 and the Kindle Fire.Babbel is operated by Lesson Nine GmbH in Berlin. The company was founded in August 2007 and now has approximately 250 employees and freelancers and is opening an office in New York City (Lower East Side). We are looking for freelance translators (m/f) from Danish and German into English.Responsibilities:Localization of Danish language courses for English markets: translating or proofreading vocabulary, dialogues and example sentences as well as adapting grammar rules Translation experiencePreferably also a background in teachingEnglish is your mother tongueAt least intermediate Danish and German skillsExcellent spelling and computer skillsReliable and an independent way of workingTax number for freelance work in GermanyPreferably living in Berlin",0,emscad_real,legitimate
Principal/Senior Mechanical Engineer (Package Equipment),,"US, TX, Houston",,,"Principal/Senior Mechanical Engineer (Package Equipment) Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Engineering &amp; Technology based in Houston is a leading international provider of front end studies, engineering, procurement and project management services needed for initiating and undertaking of contracts for the oil &amp; gas industry, both onshore and offshore. The company is also a major contributor of new technology and products, new knowledge and new methods for efficient cost saving and environmentally friendly exploitation of the world's oil and gas reserves.Responsibilities and tasksResponsible for the execution and co-ordination of the technical &amp; procurement activities of assigned packages, with a specific focus on Package Equipment (Makeup Water, Chemical Injection etc)....This includes activities such as:- Identify available equipment types for the specified equipment service and duty- Undertake equipment sizing to determine footprint and weight requirements, input to layout, electrical load and weight/cost estimate- Justify and recommend equipment selection and document the selection via study reports- Close cooperation with the Process, Layout and other disciplines to ensure robust solution.- Liaison with equipment suppliers to support the equipment selection process- Managing design interfaces for package equipment.- Compiling Technical Requisitions &amp; Specifications for Budget, Enquiry and Purchase Order.- Execution of technical Pre-Order Activities.- Evaluating Supplier bids/solutions for package equipment. Qualifications &amp; personal attributes Experience:7 years' experience in engineering and technical procurement activities associated with process and/or utility package Equipment in Oil and Gas, Petrochemical and related industriedQualifications:Degree in Mechanical EngineeringChartered EngineerA positive and flexible approach to assigned tasks is required",1,emscad,emscad_fraud
